Time,Scored,Win/Loss
25.25,1,1
90,0,1
58.66666667,1,1
90,0,1
90,0,1
90,0,0
50.93333333,1,0
90,0,1
61.63333333,1,0
2.416666667,1,1
13.8,1,0
33.7,1,1
90,0,1
42.41666667,1,0
90,0,1
39.91666667,1,1
90,0,1
52.93333333,1,1
13.75,1,1
94.63333333,1,0
90,0,1
42.58333333,1,0
61.51666667,1,1
54.1,1,0
24.31666667,1,0
9.05,1,0
90,0,1
63.3,1,1
90,0,1
28.06666667,1,1
18.61666667,1,0
17.66666667,1,0
29.8,1,0
38.21666667,1,1
106,1,0
90,0,1
90,0,1
90,0,0
90,0,1
49.46666667,1,1
39.9,1,1
20.51666667,1,0
64.65,1,0
90,0,1
10.3,1,0
14.85,1,0
90,0,1
90,0,1
14.61666667,1,0
80.61666667,1,0
73.68333333,1,0
90,0,1
70.93333333,1,1
51.03333333,1,0
